S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,50,45,190,"6,156","30,876"
1,Ambroli,1,1,3,97,521
2,Arnapal,3,3,28,852,"4,229"
3,BANIA,1,1,1,12,57
4,BANITIA,3,3,6,230,"1,167"
5,Baudpur,2,2,7,218,"1,102"
6,Bental,3,2,9,137,639
7,Berhampur,1,1,2,35,250
8,BETADA,2,2,6,173,972
9,Bishnupurbindha,2,2,6,180,926
10,Charampa,2,2,3,232,"1,037"
11,Daisingh,2,2,12,319,"2,068"
12,EREIN,1,1,11,375,"2,062"
13,Gelpur,2,2,15,468,"2,344"
14,Goramati,1,1,14,545,"2,360"
15,Haripur,2,1,4,183,919
16,Jagadalpur,2,1,1,37,203
17,Kalei,3,2,6,126,636
18,Kaupur,3,3,3,144,513
19,Kedarpur,2,2,5,97,516
20,Khandatada,1,1,9,334,"1,499"
21,KODABARUAN,1,1,1,31,168
22,Korkora,2,2,11,335,"1,795"
23,Olanga,1,1,3,33,193
24,Rahanja,2,2,4,113,622
25,RANDIA,3,2,11,402,"1,926"
26,Sabarang,1,1,2,85,455
27,Sahada,1,1,7,363,"1,697"
,Total,50,45,190,"6,156","30,876"
