S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,53,53,405,"11,624","54,374"
1,Bad Bambua,6,6,41,"1,005","4,373"
2,Bandamunda,3,3,32,"1,048","5,171"
3,Bhalulata,3,3,40,"1,211","5,902"
4,Bisra,1,1,10,86,403
5,Dareikela,3,3,24,664,"3,072"
6,Jamsara,5,5,31,"1,320","6,565"
7,Jareikela,3,3,13,150,714
8,Jhirpani,1,1,15,"1,375","6,070"
9,Kapatmunda,6,6,43,"1,268","5,778"
10,Manko,6,6,39,496,"2,180"
11,Santoshpur,2,2,12,510,"2,358"
12,Theteiposh,3,3,18,320,"1,493"
13,Tulsikani,5,5,30,667,"3,163"
14,Udusu,6,6,57,"1,504","7,132"
,Total,53,53,405,"11,624","54,374"
