S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,171,"2,380","2,307","8,136","1,62,325","6,99,417"
1,Baliguda,14,240,239,714,"13,762","61,983"
2,Chakapad,12,159,154,742,"12,720","50,854"
3,Daringbadi,25,268,256,892,"25,355","1,07,740"
4,G.udayagiri,8,79,78,422,"8,080","33,309"
5,K.nuangan,14,184,179,670,"14,025","58,113"
6,Khajuripada,14,235,232,554,"12,666","51,302"
7,Kotagarh,15,148,145,546,"11,791","56,485"
8,Phiringia,24,396,372,"1,173","19,620","87,152"
9,Phulbani,11,215,202,633,"9,212","40,159"
10,Raikia,12,141,141,642,"13,766","59,564"
11,Tikabali,11,110,109,490,"10,628","42,850"
12,Tumudibandha,11,205,200,658,"10,700","49,906"
,Total,171,"2,380","2,307","8,136","1,62,325","6,99,417"
