S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,146,142,280,"18,136","78,282"
1,Asana,9,8,17,"1,386","5,640"
2,BADMANADA,13,13,21,"1,843","8,269"
3,BANEIKALA,7,7,16,867,"3,845"
4,Bautibeda,13,13,24,"1,768","7,600"
5,Bhhatchhatar,9,9,13,979,"4,099"
6,Bisoi,7,7,20,"1,674","7,209"
7,Jaganathpur,12,12,17,942,"3,819"
8,Jodia,9,7,21,"1,048","4,489"
9,Khadambeda,15,15,30,"2,247","9,725"
10,Luhakani,18,17,35,"2,020","8,905"
11,Nangal Benta Pokharia,10,10,17,888,"3,988"
12,NUAGAON,13,13,30,"1,440","6,057"
13,Sanpuruna Pani,11,11,19,"1,034","4,637"
,Total,146,142,280,"18,136","78,282"
