S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,140,138,520,"21,604","96,486"
1,Ambaguda,6,6,17,702,"2,895"
2,BHANDARIPANGAM,4,4,16,699,"2,932"
3,Bhejaguda,7,7,34,"1,316","5,983"
4,Chaulamendi,6,6,23,"1,119","4,728"
5,Chedanga,7,7,30,"1,243","5,333"
6,Dalapatiguda,7,7,18,"1,058","4,493"
7,Dhungiaput,5,5,29,"1,009","4,435"
8,Kamarpally,2,2,13,554,"2,429"
9,KARTANPALLI,6,6,22,929,"4,151"
10,KATAPALI,7,6,26,807,"3,733"
11,KIANG,10,10,30,"1,110","5,271"
12,Kuntunlipalli,7,7,41,"1,158","5,416"
13,Mahupadar,4,4,14,801,"4,091"
14,Mathili,5,5,26,"1,762","7,602"
15,Mekka,5,5,29,"1,141","5,155"
16,Naikguda,11,10,41,"1,607","7,225"
17,Pangam,14,14,32,"1,335","6,033"
18,Salimi,9,9,21,"1,035","4,585"
19,Temurupalli,7,7,24,"1,133","5,219"
20,UDULIBEDA,11,11,34,"1,086","4,777"
,Total,140,138,520,"21,604","96,486"
