S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,100,100,498,"33,452","1,56,959"
1,Bobei,5,5,21,"1,601","5,563"
2,Chhelidangari,3,3,22,"2,134","10,657"
3,Debagaon,4,4,16,"1,029","5,059"
4,Ganjapara,5,5,24,"1,312","6,934"
5,GONA,2,2,10,693,"3,258"
6,Haladi,3,3,44,"1,823","8,002"
7,Hatabharandi,5,5,13,"1,354","4,881"
8,Hatigam,1,1,19,669,"3,470"
9,Jalangapara,2,2,15,"1,010","5,225"
10,Jodenga,7,7,18,"1,276","6,620"
11,Kacharapara,2,2,21,"1,179","5,859"
12,Kacharapara-iii,2,2,4,427,"2,183"
13,Kaudola,7,7,18,"1,139","5,303"
14,Khuduku,6,6,13,"1,279","6,256"
15,Kosaganga,5,5,20,"1,359","6,855"
16,Kumuli,2,2,12,800,"3,567"
17,Kundei,5,5,14,"1,199","5,179"
18,Kurabeda,4,4,14,717,"3,326"
19,Mahand,3,3,18,"1,320","5,711"
20,Mundibeda,2,2,41,"2,406","10,578"
21,Nakatisimoda,5,5,23,"1,685","9,076"
22,Parachipara,4,4,14,"1,115","5,177"
23,Parua,4,4,21,"1,649","7,596"
24,Raighar,6,6,20,"1,194","5,721"
25,Timanpur,4,4,34,"1,886","8,915"
26,Turudihi,2,2,9,"1,197","5,988"
,Total,100,100,498,"33,452","1,56,959"
